schema,table,constraint_name,column,referenced_schema,referenced_table,referenced_column,on_update,on_delete
public,role_permissions,role_permissions_role_id_fkey,role_id,public,roles,id,NO ACTION,CASCADE
public,role_upgrade_history,role_upgrade_history_approved_by_fkey,approved_by,public,users,id,NO ACTION,NO ACTION
public,role_upgrade_history,role_upgrade_history_from_role_id_fkey,from_role_id,public,roles,id,NO ACTION,NO ACTION
public,role_upgrade_history,role_upgrade_history_requested_by_fkey,requested_by,public,users,id,NO ACTION,NO ACTION
public,role_upgrade_history,role_upgrade_history_to_role_id_fkey,to_role_id,public,roles,id,NO ACTION,NO ACTION
public,role_upgrade_history,role_upgrade_history_user_id_fkey,user_id,public,users,id,NO ACTION,NO ACTION
public,roles,roles_business_unit_id_fkey,business_unit_id,public,business_units,id,NO ACTION,NO ACTION
public,roles,roles_created_by_fkey,created_by,public,users,id,NO ACTION,NO ACTION
public,roles,roles_updated_by_fkey,updated_by,public,users,id,NO ACTION,NO ACTION
public,symbol_custom_group_items,symbol_custom_group_items_symbol_custom_group_id_fkey,symbol_custom_group_id,public,symbol_custom_groups,id,NO ACTION,CASCADE
public,symbol_custom_groups,symbol_custom_groups_symbol_group_id_fkey,symbol_group_id,public,symbol_groups,id,NO ACTION,NO ACTION
public,symbols,symbols_symbol_group_id_fkey,symbol_group_id,public,symbol_groups,id,NO ACTION,NO ACTION
public,temp_mt5_accounts,temp_mt5_accounts_batch_id_fkey,batch_id,public,mt5_sync_batches,id,NO ACTION,NO ACTION
public,temp_mt5_deals,temp_mt5_deals_batch_id_fkey,batch_id,public,mt5_sync_batches,id,NO ACTION,NO ACTION
public,temp_mt5_positions,temp_mt5_positions_batch_id_fkey,batch_id,public,mt5_sync_batches,id,NO ACTION,NO ACTION
public,transactions,transactions_destination_mt5_account_id_fkey,destination_mt5_account_id,public,mt5_accounts,id,NO ACTION,NO ACTION
public,transactions,transactions_source_mt5_account_id_fkey,source_mt5_account_id,public,mt5_accounts,id,NO ACTION,NO ACTION
public,transactions,transactions_user_id_fkey,user_id,public,users,id,NO ACTION,NO ACTION
public,user_permission_overrides,user_permission_overrides_created_by_fkey,created_by,public,users,id,NO ACTION,NO ACTION
public,user_permission_overrides,user_permission_overrides_permission_id_fkey,permission_id,public,permissions,id,NO ACTION,NO ACTION
public,user_permission_overrides,user_permission_overrides_updated_by_fkey,updated_by,public,users,id,NO ACTION,NO ACTION
public,user_permission_overrides,user_permission_overrides_user_id_fkey,user_id,public,users,id,NO ACTION,CASCADE
public,user_profiles,user_profiles_user_id_fkey,user_id,public,users,id,NO ACTION,CASCADE
public,user_roles,user_roles_assigned_by_fkey,assigned_by,public,users,id,NO ACTION,NO ACTION
public,user_roles,user_roles_role_id_fkey,role_id,public,roles,id,NO ACTION,NO ACTION
public,user_roles,user_roles_user_id_fkey,user_id,public,users,id,NO ACTION,CASCADE
public,user_sessions,user_sessions_revoked_by_fkey,revoked_by,public,users,id,NO ACTION,NO ACTION
public,user_sessions,user_sessions_user_id_fkey,user_id,public,users,id,NO ACTION,CASCADE
public,users,users_created_by_fkey,created_by,public,users,id,NO ACTION,NO ACTION
public,users,users_deactivated_by_fkey,deactivated_by,public,users,id,NO ACTION,NO ACTION
public,users,users_kyc_reviewed_by_fkey,kyc_reviewed_by,public,users,id,NO ACTION,NO ACTION
public,users,users_referral_link_id_fkey,referral_link_id,public,referral_links,id,NO ACTION,NO ACTION
public,users,users_referrer_user_id_fkey,referrer_user_id,public,users,id,NO ACTION,NO ACTION
public,users,users_rm_user_id_fkey,rm_user_id,public,users,id,NO ACTION,NO ACTION
public,users,users_role_id_fkey,role_id,public,roles,id,NO ACTION,NO ACTION
public,users,users_role_support_id_fkey,role_support_id,public,roles,id,NO ACTION,NO ACTION
public,users,users_updated_by_fkey,updated_by,public,users,id,NO ACTION,NO ACTION
public,wallet_transactions,wallet_transactions_approved_by_fkey,approved_by,public,users,id,NO ACTION,NO ACTION
public,wallet_transactions,wallet_transactions_counterpart_mt5_account_id_fkey,counterpart_mt5_account_id,public,mt5_accounts,id,NO ACTION,NO ACTION
public,wallet_transactions,wallet_transactions_counterpart_wallet_id_fkey,counterpart_wallet_id,public,wallets,id,NO ACTION,NO ACTION
public,wallet_transactions,wallet_transactions_created_by_fkey,created_by,public,users,id,NO ACTION,NO ACTION
public,wallet_transactions,wallet_transactions_psp_detail_id_fkey,psp_detail_id,public,transaction_psp_details,transaction_id,NO ACTION,NO ACTION
public,wallet_transactions,wallet_transactions_user_id_fkey,user_id,public,users,id,NO ACTION,NO ACTION
public,wallet_transactions,wallet_transactions_wallet_id_fkey,wallet_id,public,wallets,id,NO ACTION,NO ACTION
public,wallets,wallets_user_id_fkey,user_id,public,users,id,NO ACTION,NO ACTION
